shipment_id,order_date,delivery_date,expected_delivery_date
1,2026-06-01,2026-06-02,2026-06-06
2,2026-06-02,2026-06-04,2026-06-07
3,2026-06-03,2026-06-06,2026-06-08
4,2026-06-04,2026-06-08,2026-06-09
5,2026-06-05,2026-06-10,2026-06-10
6,2026-06-06,2026-06-12,2026-06-11
7,2026-06-07,2026-06-14,2026-06-12
8,2026-06-08,2026-06-16,2026-06-13
9,2026-06-09,2026-06-18,2026-06-14
10,2026-06-10,2026-06-11,2026-06-15
11,2026-06-11,2026-06-13,2026-06-16
12,2026-06-12,2026-06-15,2026-06-17
13,2026-06-13,2026-06-17,2026-06-18
14,2026-06-14,2026-06-19,2026-06-19
15,2026-06-15,2026-06-21,2026-06-20
16,2026-06-16,2026-06-23,2026-06-21
17,2026-06-17,2026-06-25,2026-06-22
18,2026-06-18,2026-06-27,2026-06-23
19,2026-06-19,2026-06-20,2026-06-24
20,2026-06-20,2026-06-22,2026-06-25
21,2026-06-21,2026-06-24,2026-06-26
22,2026-06-22,2026-06-26,2026-06-27
23,2026-06-23,2026-06-28,2026-06-28
24,2026-06-24,2026-06-30,2026-06-29
25,2026-06-25,2026-07-02,2026-06-30
26,2026-06-26,2026-07-04,2026-07-01
27,2026-06-27,2026-07-06,2026-07-02
28,2026-06-28,2026-06-29,2026-07-03
29,2026-06-29,2026-07-01,2026-07-04
30,2026-06-30,2026-07-03,2026-07-05
31,2026-07-01,2026-07-05,2026-07-06
32,2026-07-02,2026-07-07,2026-07-07
33,2026-07-03,2026-07-09,2026-07-08
34,2026-07-04,2026-07-11,2026-07-09
35,2026-07-05,2026-07-13,2026-07-10
