id,branch_id,month,accounts_opened
1,10,2024-09,11
2,10,2024-10,16
3,10,2024-11,20
4,10,2024-12,10
5,10,2025-01,15
6,10,2025-02,13
7,10,2025-03,14
8,10,2025-04,14
9,10,2025-05,16
10,10,2025-06,18
11,10,2025-07,18
12,10,2025-08,12
13,10,2025-09,16
14,10,2025-10,20
15,10,2025-11,13
16,10,2025-12,17
17,10,2026-01,12
18,10,2026-02,18
19,10,2026-03,41
20,10,2026-04,51
21,10,2026-05,50
22,10,2026-06,44
23,10,2026-07,54
24,10,2026-08,50
25,11,2024-09,12
26,11,2024-10,17
27,11,2024-11,17
28,11,2024-12,14
29,11,2025-01,19
30,11,2025-02,13
31,11,2025-03,12
32,11,2025-04,15
33,11,2025-05,17
34,11,2025-06,20
35,11,2025-07,13
36,11,2025-08,18
37,11,2025-09,13
38,11,2025-10,14
39,11,2025-11,14
40,11,2025-12,19
41,11,2026-01,12
42,11,2026-02,12
43,11,2026-03,13
44,11,2026-04,15
45,11,2026-05,19
46,11,2026-06,18
47,11,2026-07,15
48,11,2026-08,12
