claim_id,claim_type,claim_amount,agent_id
1,Theft,120000,2
2,Fire,3200000,3
3,Accident,45000,4
4,Theft,2900000,2
5,Fire,2100000,5
6,Accident,30000,4
7,Theft,60000,3
8,Fire,900000,2
9,Fire,43141,1
10,Accident,48099,1
11,Fire,49609,1
12,Theft,45224,1
13,Theft,39169,1
14,Accident,48932,1
15,Accident,50508,1
16,Theft,51050,1
17,Fire,37396,1
18,Fire,52296,1
19,Theft,49711,1
20,Theft,38573,1
21,Theft,40058,1
22,Accident,52116,1
23,Accident,38568,1
24,Theft,49985,1
25,Theft,53071,1
26,Theft,35044,1
27,Accident,42621,1
28,Accident,36231,1
29,Theft,44954,1
30,Accident,43250,1
31,Accident,49333,1
32,Theft,38674,1
33,Fire,37305,1
34,Accident,52184,1
35,Fire,41281,1
36,Theft,43548,1
37,Theft,54695,1
38,Accident,35342,1
39,Fire,44880,1
40,Fire,44129,1
41,Fire,42941,1
42,Theft,52245,1
43,Theft,52924,1
44,Fire,35959,1
45,Theft,45072,1
46,Theft,35713,1
47,Accident,51328,1
48,Theft,48763,1
49,Theft,43429,1
50,Fire,48904,1
51,Fire,42431,1
52,Accident,36117,1
53,Accident,46077,1
54,Fire,48780,1
55,Theft,47987,1
56,Fire,35221,1
57,Theft,51543,1
58,Fire,41724,1
59,Fire,41567,1
60,Theft,41354,1
61,Theft,50240,1
62,Fire,43684,1
63,Accident,38571,1
64,Accident,51245,1
65,Theft,41137,1
66,Fire,50894,1
67,Accident,36848,1
68,Fire,39796,1
69,Theft,36781,1
70,Accident,35774,1
71,Fire,39650,1
72,Accident,36698,1
73,Theft,36970,1
74,Fire,47888,1
75,Accident,45295,1
76,Theft,38709,1
77,Fire,40427,1
78,Theft,41248,1
79,Accident,52196,1
80,Theft,50322,1
81,Accident,45217,1
82,Fire,47406,1
83,Fire,45869,1
84,Theft,40546,1
85,Theft,35094,1
86,Theft,44168,1
87,Fire,46516,1
88,Accident,39053,1
89,Fire,41796,1
90,Fire,46686,1
91,Theft,49170,1
92,Accident,36614,1
93,Theft,50514,1
94,Accident,47213,1
95,Theft,49625,1
96,Fire,45594,1
97,Theft,50549,1
98,Theft,48461,1
99,Theft,48263,1
100,Theft,47306,1
101,Theft,50206,1
102,Fire,37031,1
103,Accident,41387,1
104,Accident,37059,1
105,Fire,46110,1
106,Fire,43923,1
107,Fire,36428,1
108,Fire,45370,1
109,Theft,44745,1
110,Accident,54515,1
111,Theft,37140,1
112,Theft,42663,1
113,Accident,50570,1
114,Fire,50261,1
115,Fire,43226,1
116,Theft,51170,1
117,Theft,51270,1
118,Accident,35285,1
119,Accident,44939,1
120,Accident,39958,1
121,Fire,42737,1
122,Fire,45470,1
123,Accident,46857,1
124,Accident,37589,1
125,Fire,41465,1
126,Theft,40240,1
127,Theft,48361,1
128,Fire,36109,1
129,Accident,53107,1
130,Theft,45674,1
131,Theft,48977,1
132,Fire,37364,1
133,Theft,37755,1
134,Fire,38159,1
135,Accident,51334,1
136,Theft,49646,1
137,Theft,42674,1
138,Fire,48659,1
139,Accident,42698,1
140,Accident,52647,1
141,Fire,38970,1
142,Fire,44626,1
143,Fire,53575,1
144,Fire,47221,1
145,Theft,43530,1
146,Theft,49398,1
147,Theft,41086,1
148,Theft,42716,1
149,Accident,44219,1
150,Fire,41168,1
151,Fire,37123,1
152,Theft,43246,1
153,Accident,51624,1
154,Accident,42581,1
155,Accident,38294,1
156,Theft,50201,1
157,Theft,38353,1
158,Theft,50557,1
159,Fire,49689,1
160,Fire,36322,1
161,Theft,42631,1
162,Theft,36651,1
163,Accident,54676,1
164,Theft,41362,1
165,Accident,47197,1
166,Fire,40824,1
167,Fire,54760,1
168,Theft,35207,1
169,Accident,54534,1
170,Theft,46458,1
171,Fire,36227,1
172,Theft,46141,1
173,Theft,36447,1
174,Theft,43353,1
175,Accident,54641,1
176,Theft,41666,1
177,Fire,45723,1
178,Theft,47183,1
179,Theft,45230,1
180,Theft,41665,1
181,Accident,51240,1
182,Theft,50843,1
183,Theft,48374,1
184,Accident,47953,1
185,Theft,53026,1
186,Theft,52498,1
187,Fire,40363,1
188,Fire,43885,1
189,Accident,44283,1
190,Fire,45079,1
191,Fire,36682,1
192,Fire,53563,1
193,Fire,48568,1
194,Fire,35596,1
195,Fire,41461,1
196,Theft,48270,1
197,Fire,35192,1
198,Fire,40130,1
199,Theft,38720,1
200,Accident,48310,1
201,Fire,46951,1
202,Theft,40326,1
203,Theft,35486,1
204,Theft,53073,1
205,Theft,47999,1
206,Accident,53771,1
207,Accident,47151,1
208,Theft,51530,1
209,Fire,39780,1
210,Theft,44283,1
211,Theft,52077,1
212,Theft,37198,1
213,Fire,47574,1
214,Fire,41466,1
215,Theft,39150,1
216,Fire,50818,1
217,Accident,36748,1
218,Theft,47710,1
219,Accident,40251,1
220,Accident,42276,1
221,Accident,48254,1
222,Fire,41426,1
223,Accident,40995,1
224,Theft,42147,1
225,Accident,48098,1
226,Fire,40127,1
227,Theft,46770,1
228,Theft,39897,1
229,Theft,41310,1
230,Accident,53426,1
231,Accident,36249,1
232,Theft,45623,1
233,Accident,47774,1
234,Accident,49933,1
235,Accident,45034,1
236,Fire,48764,1
237,Theft,54091,1
238,Fire,48950,1
239,Fire,47040,1
240,Fire,51501,1
241,Theft,40857,1
242,Accident,35114,1
243,Fire,51039,1
244,Fire,42708,1
245,Theft,50017,1
246,Fire,50506,1
247,Theft,38508,1
248,Fire,39209,1
249,Fire,49109,1
250,Fire,38005,1
251,Accident,51526,1
252,Theft,36335,1
253,Theft,39268,1
254,Accident,45280,1
255,Theft,51760,1
256,Accident,36778,1
257,Accident,47381,1
258,Theft,39462,1
259,Accident,88700,6
260,Accident,94363,6
261,Accident,105389,6
262,Accident,97251,6
263,Accident,144470,6
264,Accident,117733,6
265,Accident,101641,6
266,Accident,108983,6
267,Accident,88587,6
268,Accident,125992,6
269,Accident,113059,6
270,Accident,100809,6
271,Accident,122446,6
272,Accident,116043,6
273,Accident,139821,6
