appointment_id,doctor_id,patient_rating
1,1,2.7
2,1,2.9
3,1,2.9
4,1,2.6
5,1,2.9
6,1,2.7
7,1,2.1
8,1,2.9
9,1,3.4
10,1,3.0
11,1,2.7
12,1,2.8
13,1,2.5
14,1,2.6
15,1,3.3
16,1,2.1
17,1,2.9
18,1,2.2
19,1,3.4
20,1,2.4
21,1,2.9
22,1,2.2
23,1,3.2
24,1,3.3
25,1,3.3
26,1,2.4
27,1,2.1
28,1,2.9
29,1,3.0
30,1,3.0
31,1,3.3
32,1,3.4
33,1,2.4
34,1,3.3
35,1,3.3
36,1,2.1
37,1,2.7
38,1,2.2
39,1,3.3
40,1,3.2
41,1,2.3
42,1,2.2
43,1,3.3
44,1,2.3
45,1,2.5
46,1,2.8
47,1,2.5
48,1,3.2
49,1,3.3
50,1,3.4
51,1,3.2
52,1,2.8
53,1,2.7
54,1,2.7
55,1,2.0
56,1,2.0
57,1,3.3
58,1,2.3
59,1,3.2
60,1,3.1
61,2,4.2
62,2,4.4
63,2,4.4
64,2,4.0
65,2,3.8
66,2,3.9
67,2,4.4
68,2,4.0
69,2,4.8
70,2,4.5
71,2,3.8
72,2,3.9
73,2,4.4
74,2,3.8
75,2,3.9
76,2,3.8
77,2,4.7
78,2,4.6
79,2,4.0
80,2,4.8
81,2,4.3
82,2,4.5
83,2,4.7
84,2,4.6
85,2,4.5
86,2,4.2
87,2,4.0
88,2,4.0
89,2,3.8
90,2,4.7
91,2,4.7
92,2,4.6
93,2,3.9
94,2,4.6
95,2,4.4
96,2,4.3
97,2,3.9
98,2,4.6
99,2,4.4
100,2,4.1
101,2,4.1
102,2,4.1
103,2,4.2
104,2,4.7
105,2,3.8
106,2,4.6
107,2,4.7
108,2,4.6
109,2,4.4
110,2,4.3
111,2,4.1
112,2,4.5
113,2,4.6
114,2,3.8
115,2,4.3
116,3,2.1
117,3,2.5
118,3,2.0
119,3,2.6
120,3,2.7
121,3,2.8
122,3,2.6
123,3,2.3
124,3,2.4
125,3,2.5
126,3,2.3
127,3,2.8
128,3,2.1
129,3,2.3
130,3,2.1
131,4,2.9
132,4,3.0
133,4,3.2
134,4,2.8
135,4,3.2
136,4,2.7
137,4,2.8
138,4,2.4
139,4,3.0
140,4,3.1
141,4,2.4
142,4,2.4
143,4,3.1
144,4,3.0
145,4,2.7
146,4,3.2
147,4,2.8
148,4,2.3
149,4,2.5
150,4,2.3
151,4,3.1
152,4,3.1
