employee_id,department,salary,status
1,Engineering,96222,Inactive
2,Engineering,100875,Active
3,Engineering,79747,Active
4,Engineering,81168,Active
5,Engineering,78801,Inactive
6,Engineering,89070,Active
7,Engineering,103419,Active
8,Engineering,90772,Active
9,Engineering,102821,Active
10,Engineering,112057,Active
11,Engineering,89630,Active
12,Engineering,113207,Inactive
13,Engineering,112821,Active
14,Engineering,78249,Inactive
15,Engineering,78052,Active
16,Engineering,83727,Active
17,Engineering,84453,Active
18,Engineering,112415,Active
19,Sales,43922,Active
20,Sales,56717,Active
21,Sales,50202,Active
22,Sales,40057,Active
23,Sales,58283,Active
24,Sales,55423,Active
25,Sales,48293,Active
26,Sales,52849,Active
27,Sales,46140,Active
28,Sales,45998,Active
29,Sales,47838,Active
30,Sales,49255,Active
31,Sales,47435,Active
32,Sales,40398,Active
33,Sales,51701,Active
34,Sales,49208,Active
35,Sales,54022,Active
36,Sales,59896,Active
37,Sales,56287,Active
38,Sales,48280,Active
39,Data,91474,Active
40,Data,99002,Active
41,Data,82253,Active
42,Data,88845,Active
43,Data,82129,Active
44,Data,90145,Active
45,Data,94602,Active
46,Data,92641,Active
47,Data,91370,Active
48,Data,95128,Active
49,HR,36918,Active
50,HR,38575,Active
51,HR,37119,Active
52,HR,41519,Active
53,HR,43134,Active
54,HR,42359,Active
