flight_id,flight_code,origin,destination,route,fare,delay_minutes,flight_date
1,AI101,DEL,BOM,DEL-BOM,4500,15,2026-06-01
2,AI104,DEL,BOM,DEL-BOM,3900,10,2026-06-10
3,SG302,DEL,BOM,DEL-BOM,4200,55,2026-07-05
4,6E201,DEL,MAA,DEL-MAA,5200,90,2026-06-01
5,6E201,DEL,MAA,DEL-MAA,5300,75,2026-07-22
6,6E201,DEL,MAA,DEL-MAA,5100,60,2026-07-28
7,6E201,DEL,MAA,DEL-MAA,5400,80,2026-08-01
8,6E201,DEL,MAA,DEL-MAA,5250,95,2026-08-10
9,6E201,DEL,MAA,DEL-MAA,5150,70,2026-08-15
10,6E201,DEL,MAA,DEL-MAA,5350,85,2026-08-18
11,AI102,BLR,DEL,BLR-DEL,3800,10,2026-06-05
12,AI102,BLR,DEL,BLR-DEL,3700,5,2026-07-20
13,AI102,BLR,DEL,BLR-DEL,3900,20,2026-08-05
14,SG301,MAA,DEL,MAA-DEL,4800,65,2026-06-15
15,AI103,DEL,HYD,DEL-HYD,3600,10,2026-06-20
16,6E203,CCU,BLR,CCU-BLR,5000,80,2026-07-10
