log_id,machine_id,machine_type,status
1,1,CNC Lathe,Failed
2,1,CNC Lathe,Failed
3,1,CNC Lathe,Failed
4,1,CNC Lathe,Failed
5,1,CNC Lathe,Failed
6,1,CNC Lathe,Failed
7,1,CNC Lathe,Failed
8,1,CNC Lathe,Failed
9,1,CNC Lathe,Failed
10,1,CNC Lathe,Failed
11,1,CNC Lathe,Failed
12,1,CNC Lathe,Failed
13,1,CNC Lathe,Failed
14,1,CNC Lathe,Failed
15,1,CNC Lathe,Failed
16,1,CNC Lathe,Passed
17,1,CNC Lathe,Passed
18,1,CNC Lathe,Passed
19,1,CNC Lathe,Passed
20,1,CNC Lathe,Passed
21,1,CNC Lathe,Passed
22,1,CNC Lathe,Passed
23,1,CNC Lathe,Passed
24,1,CNC Lathe,Passed
25,1,CNC Lathe,Passed
26,1,CNC Lathe,Passed
27,1,CNC Lathe,Passed
28,1,CNC Lathe,Passed
29,1,CNC Lathe,Passed
30,1,CNC Lathe,Passed
31,1,CNC Lathe,Passed
32,1,CNC Lathe,Passed
33,1,CNC Lathe,Passed
34,1,CNC Lathe,Passed
35,1,CNC Lathe,Passed
36,1,CNC Lathe,Passed
37,1,CNC Lathe,Passed
38,1,CNC Lathe,Passed
39,1,CNC Lathe,Passed
40,1,CNC Lathe,Passed
41,1,CNC Lathe,Passed
42,1,CNC Lathe,Passed
43,1,CNC Lathe,Passed
44,1,CNC Lathe,Passed
45,1,CNC Lathe,Passed
46,1,CNC Lathe,Passed
47,1,CNC Lathe,Passed
48,1,CNC Lathe,Passed
49,1,CNC Lathe,Passed
50,1,CNC Lathe,Passed
51,2,CNC Lathe,Failed
52,2,CNC Lathe,Failed
53,2,CNC Lathe,Failed
54,2,CNC Lathe,Failed
55,2,CNC Lathe,Failed
56,2,CNC Lathe,Failed
57,2,CNC Lathe,Passed
58,2,CNC Lathe,Passed
59,2,CNC Lathe,Passed
60,2,CNC Lathe,Passed
61,2,CNC Lathe,Passed
62,2,CNC Lathe,Passed
63,2,CNC Lathe,Passed
64,2,CNC Lathe,Passed
65,2,CNC Lathe,Passed
66,2,CNC Lathe,Passed
67,2,CNC Lathe,Passed
68,2,CNC Lathe,Passed
69,2,CNC Lathe,Passed
70,2,CNC Lathe,Passed
71,3,Press Machine,Failed
72,3,Press Machine,Failed
73,3,Press Machine,Failed
74,3,Press Machine,Failed
75,3,Press Machine,Passed
76,3,Press Machine,Passed
77,3,Press Machine,Passed
78,3,Press Machine,Passed
79,3,Press Machine,Passed
80,3,Press Machine,Passed
81,3,Press Machine,Passed
82,3,Press Machine,Passed
83,3,Press Machine,Passed
84,3,Press Machine,Passed
85,3,Press Machine,Passed
86,3,Press Machine,Passed
87,3,Press Machine,Passed
88,3,Press Machine,Passed
89,3,Press Machine,Passed
90,3,Press Machine,Passed
91,3,Press Machine,Passed
92,3,Press Machine,Passed
93,3,Press Machine,Passed
94,3,Press Machine,Passed
95,3,Press Machine,Passed
96,3,Press Machine,Passed
97,3,Press Machine,Passed
98,3,Press Machine,Passed
99,3,Press Machine,Passed
100,3,Press Machine,Passed
101,3,Press Machine,Passed
102,3,Press Machine,Passed
103,3,Press Machine,Passed
104,3,Press Machine,Passed
105,3,Press Machine,Passed
106,3,Press Machine,Passed
107,3,Press Machine,Passed
108,3,Press Machine,Passed
109,3,Press Machine,Passed
110,3,Press Machine,Passed
111,4,Welding Robot,Failed
112,4,Welding Robot,Failed
113,4,Welding Robot,Failed
114,4,Welding Robot,Failed
115,4,Welding Robot,Failed
116,4,Welding Robot,Failed
117,4,Welding Robot,Failed
118,4,Welding Robot,Failed
119,4,Welding Robot,Failed
120,4,Welding Robot,Passed
121,4,Welding Robot,Passed
122,4,Welding Robot,Passed
123,4,Welding Robot,Passed
124,4,Welding Robot,Passed
125,4,Welding Robot,Passed
126,4,Welding Robot,Passed
127,4,Welding Robot,Passed
128,4,Welding Robot,Passed
129,4,Welding Robot,Passed
130,4,Welding Robot,Passed
131,4,Welding Robot,Passed
132,4,Welding Robot,Passed
133,4,Welding Robot,Passed
134,4,Welding Robot,Passed
135,4,Welding Robot,Passed
136,4,Welding Robot,Passed
137,4,Welding Robot,Passed
138,4,Welding Robot,Passed
139,4,Welding Robot,Passed
140,4,Welding Robot,Passed
