shipment_id,warehouse_id,delivery_days,status
1,1,2.1,Pending
2,1,5.0,Pending
3,1,8.4,Pending
4,1,2.7,Pending
5,1,3.1,Pending
6,1,5.0,Pending
7,1,3.6,Pending
8,1,1.3,Pending
9,1,2.5,Pending
10,1,2.3,Pending
11,1,8.5,Pending
12,1,6.4,Pending
13,1,8.2,Pending
14,1,2.3,Pending
15,1,7.3,Pending
16,1,1.9,Pending
17,1,5.2,Pending
18,1,6.1,Pending
19,1,3.9,Pending
20,1,8.0,Pending
21,1,5.4,Pending
22,1,5.6,Pending
23,1,8.1,Pending
24,1,1.8,Pending
25,1,8.9,Pending
26,1,6.0,In Transit
27,1,6.9,In Transit
28,1,3.1,In Transit
29,1,5.6,In Transit
30,1,3.6,Delivered
31,1,4.5,Delivered
32,1,5.9,Delivered
33,1,3.4,In Transit
34,1,3.5,In Transit
35,1,6.9,Delivered
36,2,2.8,Pending
37,2,3.3,Pending
38,2,6.0,Pending
39,2,4.3,Pending
40,2,3.9,Pending
41,2,1.4,Pending
42,2,4.9,Pending
43,2,5.9,Pending
44,2,1.4,Delivered
45,2,1.0,In Transit
46,2,3.4,In Transit
47,2,5.3,In Transit
48,2,5.7,Delivered
49,3,2.6,Pending
50,3,6.0,Pending
51,3,4.8,Pending
52,3,2.1,Pending
53,3,8.5,Pending
54,3,2.9,Pending
55,3,2.2,Pending
56,3,1.8,Pending
57,3,6.1,Pending
58,3,8.0,Pending
59,3,7.3,Pending
60,3,4.2,Pending
61,3,3.1,Pending
62,3,1.1,Pending
63,3,6.2,Pending
64,3,5.5,Pending
65,3,3.8,Pending
66,3,6.2,Pending
67,3,4.6,Pending
68,3,8.5,Pending
69,3,6.9,Pending
70,3,3.0,Pending
71,3,8.2,Pending
72,3,1.4,Pending
73,3,5.3,Pending
74,3,4.2,Pending
75,3,2.9,Pending
76,3,1.5,Pending
77,3,7.2,Pending
78,3,1.1,Pending
79,3,5.4,Delivered
80,3,2.1,Delivered
