claim_id,policy_id,claim_amount,agent_id,is_fraud_suspected,days_since_policy_start,claim_type
1,1,120000,10,0,10,Theft
2,1,45000,10,0,200,Accident
3,2,150000,11,1,5,Fraudulent
4,2,8000,11,0,400,Accident
5,3,60000,12,0,15,Fire
6,3,95000,12,0,25,Theft
7,4,30000,10,0,300,Accident
8,4,110000,13,0,20,Fire
9,100,36974,20,1,158,Accident
10,101,32171,20,1,128,Accident
11,102,29644,20,1,125,Accident
12,103,32279,20,1,76,Theft
13,104,54820,20,1,119,Accident
14,105,39310,20,0,25,Fire
15,106,28276,20,0,17,Fire
16,107,29614,20,0,53,Fire
17,108,49561,20,0,233,Theft
18,109,36823,20,0,192,Theft
19,110,51901,20,0,291,Accident
20,111,48152,20,0,196,Fire
21,112,40562,20,0,70,Fire
22,113,58972,20,0,144,Accident
23,114,49384,20,0,293,Accident
24,115,28837,20,0,235,Accident
25,116,49058,20,0,284,Theft
26,117,39222,20,0,113,Theft
27,118,54255,20,0,192,Fire
28,119,44321,20,0,245,Fire
29,120,59681,20,0,153,Fire
30,121,28570,20,0,261,Accident
31,200,35430,21,1,299,Accident
32,201,35445,21,1,109,Accident
33,202,44015,21,1,77,Accident
34,203,24802,21,1,230,Accident
35,204,50385,21,1,209,Accident
36,205,20142,21,1,227,Accident
37,206,22831,21,1,125,Accident
38,207,29289,21,1,264,Accident
