log_id,machine_type,status
1,CNC Lathe,Failed
2,CNC Lathe,Failed
3,CNC Lathe,Failed
4,CNC Lathe,Failed
5,CNC Lathe,Failed
6,CNC Lathe,Failed
7,CNC Lathe,Failed
8,CNC Lathe,Failed
9,CNC Lathe,Failed
10,CNC Lathe,Failed
11,CNC Lathe,Passed
12,CNC Lathe,Passed
13,CNC Lathe,Passed
14,CNC Lathe,Passed
15,CNC Lathe,Passed
16,CNC Lathe,Passed
17,CNC Lathe,Passed
18,CNC Lathe,Passed
19,CNC Lathe,Passed
20,CNC Lathe,Passed
21,CNC Lathe,Passed
22,CNC Lathe,Passed
23,CNC Lathe,Passed
24,CNC Lathe,Passed
25,CNC Lathe,Passed
26,CNC Lathe,Passed
27,CNC Lathe,Passed
28,CNC Lathe,Passed
29,CNC Lathe,Passed
30,CNC Lathe,Passed
31,CNC Lathe,Passed
32,CNC Lathe,Passed
33,CNC Lathe,Passed
34,CNC Lathe,Passed
35,CNC Lathe,Passed
36,CNC Lathe,Passed
37,CNC Lathe,Passed
38,CNC Lathe,Passed
39,CNC Lathe,Passed
40,CNC Lathe,Passed
41,Press Machine,Failed
42,Press Machine,Failed
43,Press Machine,Failed
44,Press Machine,Failed
45,Press Machine,Passed
46,Press Machine,Passed
47,Press Machine,Passed
48,Press Machine,Passed
49,Welding Robot,Failed
50,Welding Robot,Failed
51,Welding Robot,Passed
52,Welding Robot,Passed
53,Welding Robot,Passed
54,Welding Robot,Passed
55,Welding Robot,Passed
56,Welding Robot,Passed
57,Welding Robot,Passed
58,Welding Robot,Passed
59,Welding Robot,Passed
60,Welding Robot,Passed
61,Welding Robot,Passed
62,Welding Robot,Passed
63,Welding Robot,Passed
64,Welding Robot,Passed
65,Welding Robot,Passed
66,Welding Robot,Passed
67,Welding Robot,Passed
68,Welding Robot,Passed
69,Welding Robot,Passed
70,Welding Robot,Passed
