order_id,status
1,Delivered
2,Delivered
3,Delivered
4,Delivered
5,Delivered
6,Delivered
7,Delivered
8,Delivered
9,Delivered
10,Delivered
11,Delivered
12,Delivered
13,Delivered
14,Delivered
15,Delivered
16,Delivered
17,Delivered
18,Delivered
19,Delivered
20,Delivered
21,Delivered
22,Delivered
23,Delivered
24,Delivered
25,Delivered
26,Delivered
27,Delivered
28,Delivered
29,Delivered
30,Delivered
31,Delivered
32,Delivered
33,Delivered
34,Delivered
35,Delivered
36,Delivered
37,Delivered
38,Delivered
39,Delivered
40,Delivered
41,Delivered
42,Delivered
43,Delivered
44,Delivered
45,Delivered
46,Delivered
47,Delivered
48,Delivered
49,Delivered
50,Delivered
51,Delivered
52,Delivered
53,Delivered
54,Delivered
55,Delivered
56,Delivered
57,Delivered
58,Delivered
59,Delivered
60,Delivered
61,Delivered
62,Delivered
63,Delivered
64,Delivered
65,Delivered
66,Delivered
67,Delivered
68,Delivered
69,Delivered
70,Delivered
71,Delivered
72,Delivered
73,Cancelled
74,Cancelled
75,Cancelled
76,Cancelled
77,Cancelled
78,Cancelled
79,Cancelled
80,Cancelled
81,Cancelled
82,Cancelled
83,Cancelled
84,Cancelled
85,Cancelled
86,Cancelled
87,Cancelled
88,Returned
89,Returned
90,Returned
91,Returned
92,Returned
93,Returned
94,Returned
95,Returned
96,Returned
97,Pending
98,Pending
99,Pending
100,Pending
